"SAMPLEID","SITE","TREATMENT","QUADRAT","TIME","IDNUMBERS","DBD1","DBD2","DBD3","DBD4","DBD","OM1","OC1","SCD1","OM2","OC2","SCD2","SCD","MEANGRAIN","SDGRAIN","PERCENTCOVER.x","mean_leaf","sd_leaf","n_leaf","se_leaf","PERCENTCOVER.y","TEMP_mean","TEMP_sd","TEMP_se","SALINITY_mean","SALINITY_sd","SALINITY_se","DO_mean","DO_sd","DO_se","pH_mean","pH_sd","pH_se","TURBIDITY_mean","TURBIDITY_sd","TURBIDITY_se","Site"
"FB-HI-01","FB","HI","1","2","145, 146, 147, 148",1.74310319696477,1.52931539725513,1.44015768807552,1.45461782281589,1.54179852627783,2.47997830318117,0.361991321272467,0.00630988229383538,2.56615667476524,0.396462669906097,0.00570968762100212,12.0195699148375,NA,NA,27.5,NA,NA,NA,NA,27.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FB-HI-01","FB","HI","1","2","145, 146, 147, 148",1.74310319696477,1.52931539725513,1.44015768807552,1.45461782281589,1.54179852627783,2.47997830318117,0.361991321272467,0.00630988229383538,2.56615667476524,0.396462669906097,0.00570968762100212,12.0195699148375,NA,NA,27.5,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FB-HO-01","FB","HO","1","2","149, 150, 151, 152",1.34452659734244,1.66590374803325,1.62191624559616,1.450268410237,1.52065375030221,2.56471162241281,0.395884648965123,0.00532277440013181,2.4027799267626,0.331111970705039,0.00537035884397863,10.6931332441104,NA,NA,27.5,NA,NA,NA,NA,27.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FB-HO-01","FB","HO","1","2","149, 150, 151, 152",1.34452659734244,1.66590374803325,1.62191624559616,1.450268410237,1.52065375030221,2.56471162241281,0.395884648965123,0.00532277440013181,2.4027799267626,0.331111970705039,0.00537035884397863,10.6931332441104,NA,NA,27.5,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FB-SI-01","FB","SI","1","2","153, 154, 155, 156",1.60190299922046,1.62159957476881,1.46961507326895,1.57814918804441,1.56781670882566,2.4977376710985,0.3690950684394,0.00591254497130557,2.68586190334011,0.444344761336042,0.0065301575898754,12.442702561181,NA,NA,0,NA,NA,NA,NA,27.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FB-SI-01","FB","SI","1","2","153, 154, 155, 156",1.60190299922046,1.62159957476881,1.46961507326895,1.57814918804441,1.56781670882566,2.4977376710985,0.3690950684394,0.00591254497130557,2.68586190334011,0.444344761336042,0.0065301575898754,12.442702561181,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FB-SO-01","FB","SO","1","2","157, 158, 158, 160",1.42859482897096,1.57444011537053,1.56268830350712,1.42418243213911,1.49747641999693,2.37574735954912,0.32029894381965,0.00457577414865613,2.64386714896413,0.427546859585651,0.00668122476675698,11.2569989154131,NA,NA,0,NA,NA,NA,NA,27.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FB-SO-01","FB","SO","1","2","157, 158, 158, 160",1.42859482897096,1.57444011537053,1.56268830350712,1.42418243213911,1.49747641999693,2.37574735954912,0.32029894381965,0.00457577414865613,2.64386714896413,0.427546859585651,0.00668122476675698,11.2569989154131,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FB-HI-02","FB","HI","2","2","161, 162, 163, 164",1.55591224762696,1.490371883742,1.61836988224241,1.77159832273809,1.60906308408737,4.58234566628877,1.20293826651551,0.0187166638201063,2.32630375446921,0.300521501787686,0.0048635494745945,23.5802132947008,NA,NA,12.5,NA,NA,NA,NA,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FB-HI-02","FB","HI","2","2","161, 162, 163, 164",1.55591224762696,1.490371883742,1.61836988224241,1.77159832273809,1.60906308408737,4.58234566628877,1.20293826651551,0.0187166638201063,2.32630375446921,0.300521501787686,0.0048635494745945,23.5802132947008,NA,NA,12.5,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
